Year	tree ring data
2119	212.48
2120	216.68
2121	205.27
2122	220.7
2123	203.53
2124	246.49
2125	319.28
2126	400.44
2127	393.23
2128	301.81
2129	164.34
2130	121.62
2131	155.29
2132	167.75
2133	177.26
2134	159.59
2135	198.81
2136	212.34
2137	261.53
2138	276.77
2139	301.32
2140	259.31
2141	209.71
2142	163.11
2143	1161.2
2144	228.96
2145	305.49
2146	275.99
2147	234.63
2148	192.17
2149	219.67
2150	239.28
2151	264.46
2152	231.37
2153	199.41
2154	196.2
2155	216.21
2156	252.93
2157	231.13
2158	220.91
2159	218.38
2160	256.06
2161	255.11
2162	237.89
2163	228
2164	274.25
2165	253.75
2166	258.51
2167	238.01
2168	255.77
2169	222.27
2170	197.55
2171	163.98
2172	178.47
2173	169
2174	132.25
2175	151.59
2176	177.27
2177	218.47
2178	265.55
2179	289.79
2180	284.52
2181	253.55
2182	189
2183	208.27
2184	184.22
2185	179.16
2186	203.65
2187	231.34
2188	253.77
2189	259.28
2190	238.48
2191	222.29
2192	232.74
2193	239.53
2194	227.78
2195	243.45
2196	237.33
2197	246.49
2198	209.87
2199	251.34
2200	225.05
2201	221
2202	174.63
2203	166.11
2204	162.32
2205	185.74
2206	165.45
2207	168.41
2208	218.08
2209	249.38
2210	237.98
2211	207.76
2212	216.73
2213	269.76
2214	212.42
2215	258.18
2216	205
2217	327.21
2218	313.19
2219	303
2220	206.73
2221	169.22
2222	183.84
2223	261.15
2224	268.66
2225	274.91
2226	285.37
2227	264.51
2228	238.79
2229	230.33
2230	246.95
2231	305.29
2232	264.03
2233	204.38
2234	211.51
2235	159.66
2236	158.54
2237	127.85
2238	219.17
2239	242.91
2240	254.27
2241	257.42
2242	242
2243	280.11
2244	228.47
2245	203.41
2246	143.44
2247	212.84
2248	198.68
2249	156.37
2250	153.54
2251	163.72
2252	253.5
2253	279.85
2254	269.33
2255	259.08
2256	224
2257	183.51
2258	163.78
2259	185.33
2260	192.72
2261	190.59
2262	165.82
2263	212.92
2264	195.12
2265	169.92
2266	73
2267	81
2268	95
2269	161.87
2270	210.04
2271	216.48
2272	244.15
2273	256
2274	254
2275	239.92
2276	252.63
2277	273.45
2278	292.16
2279	288.73
